fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['identif']->type,1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['erected', 'location']->identif",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
['identif']->river,1.0,1.0,1.0,1.0,True,-7.327471962526033e-15
['identif']->clear-g,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['identif']->span,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['identif']->t-or-d,1.0,1.0,1.0,1.0,True,-4.6629367034256575e-15
['identif']->length,1.0,1.0,1.0,1.0,True,9.847678228425139e-14
['identif']->material,1.0,1.0,1.0,1.0,True,3.774758283725532e-15
['identif']->purpose,1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
['identif']->erected,1.0,1.0,1.0,1.0,True,9.00390872971002e-14
['identif']->lanes,1.0,1.0,1.0,1.0,True,1.7763568394002505e-15
['identif']->location,1.0,1.0,1.0,1.0,True,5.162537064506978e-14
['erected']->material,0.6984279421282276,0.716209437323048,0.9537037037037037,0.868421052631579,False,0.1979774049726164
['location']->material,0.0,0.0,0.7685185185185185,0.5283018867924528,False,-0.10351331128657715
['erected']->clear-g,0.50244557729402,0.49118629121520174,0.9444444444444444,0.8421052631578947,False,0.15416787235728924
['location']->clear-g,0.0,0.0,0.8148148148148149,0.6226415094339622,False,-0.03943492698593465
['erected']->purpose,0.5641630051481259,0.575587035313866,0.9351851851851852,0.8157894736842105,False,0.1766117389207813
['location']->river,1.0,1.0,1.0,1.0,False,0.42031795380008496
"['length', 'type']->material",0.3194777315924374,0.3982627728126581,0.9259259259259259,0.7647058823529411,False,0.10733867428642907
['erected']->lanes,0.20339158308344552,0.19570471731441802,0.8425925925925926,0.5526315789473685,False,0.05397969593298935
['erected']->river,0.0,0.0,0.787037037037037,0.39473684210526316,False,-0.01515390097117697
['erected']->span,0.328025037653203,0.3605764198473722,0.8611111111111112,0.6052631578947368,False,0.10494630078885836
['location']->lanes,0.0,0.0,0.7037037037037037,0.39622641509433965,False,-0.04589013175663692
['erected']->t-or-d,0.16716085989621832,0.18899405802476638,0.9166666666666666,0.7631578947368421,False,0.052831332765975736
['location']->span,0.30259217246144887,0.31304070501655423,0.8055555555555556,0.6037735849056604,False,0.1269446387924834
['location']->t-or-d,0.17728762512179952,0.16732330521340347,0.8796296296296297,0.7547169811320755,False,0.06508199069303866
"['length', 'location']->erected",0.0,0.0,0.8981481481481481,0.0,False,-0.0005910241955040529
"['length', 'material']->clear-g",0.8127299925205689,0.8134365017332894,0.9814814814814815,0.9428571428571428,False,0.2456618140777448
"['erected', 'length']->location",0.0,0.0,0.9907407407407407,0.0,False,-4.6971632895687065e-05
['erected']->type,0.2925942032392277,0.27461947958574734,0.8240740740740741,0.5,False,0.06802597347351624
['location']->purpose,0.503927043123787,0.49060104956470557,0.9074074074074074,0.8113207547169812,False,0.20989361369773785
"['erected', 'length']->identif",0.0,6.16768256376986e-11,0.9907407407407407,0.0,False,1.6908696665041134e-13
"['length', 'location']->identif",0.0,4.374637736058134e-12,0.8981481481481481,0.0,False,1.580957587066223e-13
"['length', 'location']->type",0.319655690446222,0.32772397654518937,0.9537037037037037,0.5454545454545454,False,0.02356883198720161
"['erected', 'location']->length",1.0,1.0,1.0,1.0,True,9.847678228425139e-14
"['length', 'span', 'type']->river",0.11679605216444644,0.109330228004123,0.8981481481481481,0.5217391304347826,False,0.02087410466955686
"['length', 'rel-l', 'span']->material",0.06765833663889886,0.15212585953010468,0.9166666666666666,0.6666666666666666,False,0.031654757628906016
"['length', 'type']->clear-g",0.5162897619780891,0.4948726951536533,0.9537037037037037,0.8529411764705882,False,0.14471821600789447
"['length', 'material', 'river']->span",0.22614402958667623,0.26164903836816955,0.9074074074074074,0.5652173913043478,False,0.04729966123583851
"['location', 'type']->erected",0.0,0.0,0.8240740740740741,0.0,False,-0.0006932205468968
"['length', 'type']->t-or-d",0.4427742928157161,0.44366529262939236,0.962962962962963,0.8823529411764706,False,0.12040748538269408
"['location', 'type']->identif",0.0,3.171303910192556e-12,0.8240740740740741,0.0,False,1.7175150190951172e-13
"['length', 'type']->lanes",0.39812074142033993,0.4541866390647595,0.9074074074074074,0.7058823529411765,False,0.12266092236413073
"['length', 'material', 'river']->purpose",0.0,0.0,0.8981481481481481,0.5217391304347826,False,-0.029589097145569565
"['location', 'span']->type",0.14761460067400178,0.14903948128340502,0.8148148148148149,0.3939393939393939,False,0.030715919953111293
"['erected', 'type']->identif",0.0,2.915445703432823e-12,0.8148148148148149,0.0,False,1.708633234898116e-13
"['rel-l', 'span', 'type']->material",0.7404418271137826,0.7609308230638328,0.9444444444444444,0.9230769230769231,False,0.47391628424774457
"['length', 'river', 'type']->erected",0.0,0.0,0.7777777777777778,0.0,False,-0.0016672087772291455
"['length', 'rel-l']->clear-g",0.5618362004487663,0.5499178492556921,0.962962962962963,0.8857142857142857,False,0.16884196421315256
"['length', 'river', 'type']->identif",0.0,1.8193207522728e-12,0.7777777777777778,0.0,False,1.5776269179923474e-13
"['length', 'material']->type",0.6568631011685948,0.6624365784540617,0.9351851851851852,0.8,False,0.17401231642272275
"['length', 'river', 'type']->span",0.17832764505119403,0.20859194600936296,0.8981481481481481,0.5416666666666666,False,0.039832707395386024
"['lanes', 'length', 'material']->river",0.008654444358037416,0.007649502279463039,0.8518518518518519,0.42857142857142855,False,0.0017904820948466682
"['location', 'type']->length",0.26353047297827226,0.28897190505580345,0.8796296296296297,0.3157894736842105,False,0.01927127831027775
"['rel-l', 'type']->clear-g",0.5317480294574534,0.5142925265512788,0.8888888888888888,0.8681318681318682,False,0.4150807620056297
"['clear-g', 'length', 'river']->material",0.13779112597041865,0.1134242631157435,0.9259259259259259,0.7241379310344828,False,0.025252014966128278
"['erected', 'type']->location",0.0,0.0,0.8148148148148149,0.0,False,-0.0011253045474090007
"['erected', 'span']->identif",0.0,2.1859555617146134e-12,0.7777777777777778,0.0,False,1.674216321134736e-13
"['location', 'span']->erected",0.0,0.0,0.6944444444444444,0.0,False,-0.0014487736776359617
"['length', 'rel-l']->t-or-d",0.20700871898054862,0.2574649800397189,0.9444444444444444,0.8285714285714286,False,0.07449601767068059
"['erected', 'type']->length",0.0,0.0,0.8148148148148149,0.0,False,-0.0060478036565759785
"['lanes', 'location']->type",0.23754517032766198,0.220269360739212,0.8796296296296297,0.4090909090909091,False,0.029228751278883025
"['location', 'span']->identif",0.0,9.480766000174403e-13,0.6944444444444444,0.0,False,9.536815781530095e-14
